p_drop_psi,p_socket_psi,p_plug_psi,q_lpm,temp_c,dist_mm,force_n,velocity_mms,SPEED_mms,is_movedir_mating,offest_radial_mm,offset_angle_deg,is_flowdir_s2p,cycle_num,test_owner,test_id,ocp_test_spec,test_date_ymd,plug_id,socket_id,plug_vendor,socket_vendor
,,,,20,94.9155,11.265041,,399.999809,0,4.65,0,,4,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.3613,-234.747787,,399.999809,1,4.65,0,,5,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.4355,11.372396,,399.999809,0,4.65,0,,5,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.0413,-234.74775,,399.999809,1,4.65,0,,6,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,95.0755,11.937795,,399.999809,0,4.65,0,,6,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.7613,-237.524677,,399.999809,1,4.65,0,,7,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,93.8755,11.443965,,399.999809,0,4.65,0,,7,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.5213,-238.698375,,399.999809,1,4.65,0,,8,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,93.8755,11.293669,,399.999809,0,4.65,0,,8,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.6013,-243.128563,,399.999809,1,4.65,0,,9,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.4355,11.021705,,399.999809,0,4.65,0,,9,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.2813,-246.062877,,399.999809,1,4.65,0,,10,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.1955,11.680145,,399.999809,0,4.65,0,,10,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.6013,-245.697894,,399.999809,1,4.65,0,,11,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.5955,11.859068,,399.999809,0,4.65,0,,11,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.2013,-241.346447,,399.999809,1,4.65,0,,12,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,94.8355,10.957293,,399.999809,0,4.65,0,,12,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.6813,-250.099406,,399.999809,1,4.65,0,,13,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,68.2167,49.347181,,399.999809,0,4.65,0,,13,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.7613,-242.921016,,399.999809,1,4.65,0,,14,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,68.2167,49.798069,,399.999809,0,4.65,0,,14,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
,,,,20,90.9213,-222.602478,,399.999809,1,4.65,0,,15,SAFEWAY,11.3-14,11.1-11,4/26/2022,2BP-C010,B2-C131,Cejn,Cejn
